"","label","abstract","publication_type","authors","book_authors","book_editors","book_group_authors","author_full_names","book_author_full_names","group_authors","article_title","source_title","book_series_title","book_series_subtitle","language","document_type","conference_title","conference_date","conference_location","conference_sponsor","conference_host","author_keywords","keywords_plus","addresses","affiliations","reprint_addresses","email_addresses","researcher_ids","orci_ds","funding_orgs","funding_name_preferred","funding_text","cited_references","cited_reference_count","times_cited_wo_s_core","times_cited_all_databases","x180_day_usage_count","since_2013_usage_count","publisher","publisher_city","publisher_address","issn","e_issn","isbn","journal_abbreviation","journal_iso_abbreviation","publication_date","publication_year","volume","issue","part_number","supplement","special_issue","meeting_abstract","start_page","end_page","article_number","doi","doi_link","book_doi","early_access_date","number_of_pages","wo_s_categories","web_of_science_index","research_areas","ids_number","pubmed_id","open_access_designations","highly_cited_status","hot_paper_status","date_of_export","ut_unique_wos_id","web_of_science_record","id","predicted_label"
"77","Review","NOVELTY STATEMENTPhytoremediation is an effective method for ecological remediation of heavy metal contaminated soil. Endophytic fungi such as arbuscular mycorrhizal fungi, dark septate endophytic fungi, plant growth promoting endophytic fungi can synergistically improve the adaptability to heavy metal stress. This review comprehensively summarizes the regulation mechanism of plant response to heavy metal stress mediated by endophytic fungi for the first time, and provides new insights and proposals for exploring novel hyperaccumulator for phytoremediation more effectively. Endophytic fungi exist widely in plants and play an important role in the growth and adaptation of plants. They could be used in phytoremediation techniques against heavy metal contaminated soil since beneficial microbial symbionts can endow plants with resistance to external heavy metal stresses. This review summarized the regulation mechanism of plant response to heavy metal stress mediated by endophytic fungi. Potential endophytic fungi in enhancing plant's adaption to heavy metal stresses include arbuscular mycorrhizal fungi, dark septate endophytic fungi, plant growth promoting endophytic fungi. The mechanisms involve coevolution strategy, immune regulation and detoxification transport to improve the ability of plants to adapt to heavy metal stress. They can increase the synthesis of host hormones and maintaining the balance of endogenous hormones, strengthen osmotic regulation, regulate carbon and nitrogen metabolism, and increase immune activity, antioxidant enzyme and glutathione activity. They also help to improve the detoxification transport and heavy metal emission capacity of the host by significantly producing iron carrier, metallothionein and 1-aminocyclopropane-1-carboxylic acid deaminase. The combination of endophytic fungi and hyperaccumulation plants provides a promising technology for the ecological restoration of heavy metal contaminated soil. Endophytic fungi reserves further development on enhancing host plant's adaptability to heavy metal stresses.","J","Zheng, JD; Xie, XG; Li, CY; Wang, HX; Yu, YR; Huang, BK",NA,NA,NA,"Zheng, Jiadong; Xie, Xingguang; Li, Chunyan; Wang, Hongxia; Yu, Yaru; Huang, Baokang",NA,NA,"Regulation mechanism of plant response to heavy metal stress mediated by endophytic fungi","INTERNATIONAL JOURNAL OF PHYTOREMEDIATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yu, Yaru/AAU-3372-2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1522-6514","1549-7879",NA,NA,NA,"45580",2023,25,"12",NA,NA,NA,NA,"1596","1613",NA,"10.1080/15226514.2023.2176466","http://dx.doi.org/10.1080/15226514.2023.2176466",NA,"2/23/2024",NA,NA,NA,NA,NA,36786203,NA,NA,NA,NA,"WOS:000932241100001","View Full Record in Web of Science",87,NA
"78","Review","This is a systematic review of scientific articles reporting the biodiversity of endophytic fungi isolated from endemic Cerrado plants in Brazil and exposes the potential applications of these microorganisms in the production of known and new metabolites. The Portal de Periodicos (CAPES), Science Direct, PubMed, Scielo, and Biblioteca Virtual em Saude (BVS) databases were used. A total of 418 articles were found using the following sets of keywords: Endophytic, fungi, and Cerrado; endophytic, fungi, rupestrian, and grass lands; endophytic, fungi, Brazilian, and savanna; among these, 14 articles were selected. The articles were grouped into studies on the biodiversity of Cerrado endophytic fungi, chemical studies, and other subjects. All the articles were found to be related to the diversity present in the Cerrado of the southeastern and midwestern regions, they show high fungal biodiversity with Diaporthe genus predominant in almost all plants studied. In all the studies on the chemical diversity of endophytic fungi, new compounds or new natural products were found associated with a range of bioactivity, especially antifungal. It shows the great potential of endophytes in the production of new and bioactive secondary metabolites, as well as the unexplored chemical diversity of endophytes isolated from endemic plant species. The review shows that rare studies performed in regions where the Cerrado biome are predominant, including the central, north, and northeast regions, representing an important niche that is still unexplored.","J","Dantas, SBS; Alves, FAM; Chapla, VM",NA,NA,NA,"Souza Dantas, Sara Bruna; Mota Alves, Flavia Alessandra; Chapla, Vanessa Mara",NA,NA,"Chemical, diversity and biotechnological potential of endophytic fungi isolated from Brazilian Cerrado plants","BIOTA NEOTROPICA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chapla, Vanessa/F-2210-2018; Chapla, Vanessa/JHT-0248-2023","Chapla, Vanessa/0000-0002-1078-668X;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1676-0603",NA,NA,NA,NA,NA,2021,21,"2",NA,NA,NA,NA,NA,NA,"e20201069","10.1590/1676-0611-BN-2020-1069","http://dx.doi.org/10.1590/1676-0611-BN-2020-1069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000636637600001","View Full Record in Web of Science",88,NA
"79","Presence","Diverse endophytic fungi exist within plant aerial tissues, with a global estimate of up to a million undescribed species. These endophytes constitute a rich bio-resource for exploration to discover new natural products. Here we investigate fungal endophytes associated with a medicinal plant, Nerium oleander L. (Apocynaceae). A total of 42 endophytic fungal strains were isolated from the host plant. Total antioxidant capacity, xanthine oxidase inhibitory activity, antimicrobial activity, and total phenolic content (TPC) were evaluated for 16 representative fungal cultures grown in improved Czapek's broth and for the host plant. The total antioxidant capacities and phenolic contents of the fungal cultures ranged from 9.59 to 150.79 mu mol trolox/100 mL culture, and from 0.52 to 13.95 mg gallic acid/100 mL culture, respectively. The fungal culture of an endophytic strain Chaetomium sp. showed the strongest antioxidant capacity, contained the highest level of phenolics, and to some extent inhibited xanthine oxidase activity with an IC50 value of 109.8 mu g/ mL. A significant positive correlation was found between antioxidant capacity and TPC in the tested samples. Most of the endophytic fungal cultures tested have a wide range of antimicrobial activities, which were not very strong, but much better than those of the host plant. The major bioactive constituents of the fungal cultures were investigated using LC-ESI-MS and GC-MS, and preliminary identification detected phenolics (e.g. phenolic acids and their derivatives, flavonoids) and volatile and aliphatic compounds. This study shows that the endophytic fungi isolated from N. oleander can be a potential antioxidant resource.","J","Huang, WY; Cai, YZ; Hyde, KD; Corke, H; Sun, M",NA,NA,NA,"Huang, Wu-Yang; Cai, Yi-Zhong; Hyde, Kevin D.; Corke, Harold; Sun, Mei",NA,NA,"Endophytic fungi from Nerium oleander L (Apocynaceae):: main constituents and antioxidant activity","WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corke, Harold/D-3068-2009; Hyde, Kevin D/F-7890-2010; Cai, Yi-Zhong/B-9774-2009; HUANG, Wuyang/ABH-5066-2020; Sun, Mei/D-3124-2009","Corke, Harold/0000-0001-7709-0129; HUANG, Wuyang/0000-0002-3038-0636;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0959-3993","1573-0972",NA,NA,NA,"SEP",2007,23,"9",NA,NA,NA,NA,"1253","1263",NA,"10.1007/s11274-007-9357-z","http://dx.doi.org/10.1007/s11274-007-9357-z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000249057700009","View Full Record in Web of Science",89,NA
"80","Review","Endophytic fungi have been creating a considerable interest and curiosity among researchers since past three decades globally, owing to their recognition as an inexhaustible source of structurally and biologically novel compounds, alternative source of metabolites functionally identical to plant produced metabolites and their ability to impart resistance in host plants against various biotic and abiotic stresses. In this review, we have earnestly attempted to compile a vast array of endophytic fungi assemblages harbored inside Indian medicinal plants which have been reported during last decade from India.","J","Chowdhary, K; Kaushik, N; Coloma, AG; Raimundo, CM",NA,NA,NA,"Chowdhary, Kanika; Kaushik, Nutan; Coloma, Azucena Gonzalez; Raimundo, Cabrera Manuel",NA,NA,"Endophytic fungi and their metabolites isolated from Indian medicinal plant","PHYTOCHEMISTRY REVIEWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kaushik, Nutan/H-7271-2012","Kaushik, Nutan/0000-0002-3870-8093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1568-7767","1572-980X",NA,NA,NA,"DEC",2012,11,"4",NA,NA,"SI",NA,"467","485",NA,"10.1007/s11101-012-9264-2","http://dx.doi.org/10.1007/s11101-012-9264-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000317742500010","View Full Record in Web of Science",90,NA
"81","Review","Endophytic fungi reside within the plant tissues and maintain a strong symbiotic relationship. They are of utmost importance as promising sources of chemically diverse bioactive natural products. These microbes alter gene expression levels, modulate biosynthetic pathways, mitigate stressful conditions in plants and thereby play an important role in establishing plant's defence system against potential pathogens. The quest for discovering new chemical entities of pharmaceutical importance has drawn attention towards the mangrove ecosystem, which offers unique biodiversity. Mangroove associated fungi live under stress conditions and are the potential source of chemically diverse metabolites. Some fungal metabolites served as lead molecules for the development of new anti-infective agents. These fungi were modified/tailored using epigenetic means or culture optimization methods to improve the yield of useful metabolites. The present review describes the compounds isolated from mangrove endophytic fungi during 2013-2019 (up to June 2019) with focus on their chemical structure and their anti-infective activity. The compounds identified from endophytic fungi are arranged based on their antibacterial, antimycobacterial, antifungal, and antiviral activities. (c) 2020 SAAB. Published by Elsevier B.V. All rights reserved.","J","Deshmukh, SK; Agrawal, S; Prakash, V; Gupta, MK; Reddy, MS",NA,NA,NA,"Deshmukh, Sunil K.; Agrawal, Shivankar; Prakash, Ved; Gupta, Manish K.; Reddy, M. Sudhakara",NA,NA,"Anti-infectives from mangrove endophytic fungi","SOUTH AFRICAN JOURNAL OF BOTANY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AGRAWAL, SHIVANKAR/AAT-1977-2020; Deshmukh, Dr. Sunilkumar/M-3504-2018","AGRAWAL, SHIVANKAR/0000-0002-1584-691X; Deshmukh, Dr. Sunilkumar/0000-0001-5395-9512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0254-6299","1727-9321",NA,NA,NA,"NOV",2020,134,NA,NA,NA,"SI",NA,"237","263",NA,"10.1016/j.sajb.2020.01.006","http://dx.doi.org/10.1016/j.sajb.2020.01.006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000612827000025","View Full Record in Web of Science",91,NA
"82","Presence","Endophytic fungi are known to play an important role in driving the evolution of plants by conferring adaptational advantages to their host through the production of secondary metabolites and phytohormones. In this study, we evaluated the diversity and phylogenetic relationship of endophytic fungal communities from four Dendrobium species viz., Dendrobium chrysanthum, Dendrobium heterocarpum, Dendrobium hookerianum, and Dendrobium longicornu of Meghalaya, India. A total of 51 culturable endophytic fungi were isolated from the four selected orchid species. The isolates were identified based on nuclear large subunit sequences into 33 species. Approximately 91% of the isolates showed affinity to Ascomycetes, while 9% of the isolates showed BLAST search similarity to Basidiomycetes. The most common genera were Trichoderma and Xylaria. The most prevalent genera were Fusarium, which was detected in all the four Dendrobium species followed by Diaporthe, which was present in three Dendrobium species viz., D. chrysanthum, D. hookerianum, and D. heterocarpum. The Shannon index value of endophytic fungal communities was the highest in D. chrysanthum (2.66), while D. longicornu (1) had the highest Evenness index. The present study revealed that endophytic fungi in these orchids are an amalgam of pathogenic and beneficial fungi, which have, at the least, switched their lifestyle to asymptomatic endophyte in their host. To our knowledge, this is the first such report on the diversity of endophytic fungi in the four selected Dendrobium species from Meghalaya, India.","J","Hajong, S; Kapoor, R",NA,NA,NA,"Hajong, Subarna; Kapoor, Rupam",NA,NA,"An amalgam of pathogenic and beneficial endophytic fungi colonizing four Dendrobium species from Meghalaya, India","JOURNAL OF BASIC MICROBIOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0233-111X","1521-4028",NA,NA,NA,"MAY",2020,60,"5",NA,NA,NA,NA,"415","423",NA,"10.1002/jobm.201900631","http://dx.doi.org/10.1002/jobm.201900631",NA,"3/20/2024",NA,NA,NA,NA,NA,32115755,NA,NA,NA,NA,"WOS:000517136000001","View Full Record in Web of Science",92,NA
"83","Presence","Background Huperzine A (Hup A) has attracted considerable attention as an effective therapeutic candidate drug used to treat Alzheimer's disease. Whereas, the production of Hup A from wild plants faced a major challenge, which is the wild Huperzia Serrata harbor a low Hup A content, has a long-life cycle, and has a small yield. At present, several reports showed that Hup A is produced by various endophytic fungal strains isolated from H. serrata, thereby providing an alternative method to produce the compound and reduce the consumption of this rare and endangered plant. However, till now, very few comprehensive studies are available on the biological diversity and structural composition of endophytic fungi and the effects of endophytic fungi on the Hup A accumulation in H. serrata. Results In this research, the composition and diversity of fungal communities in H. serrata were deciphered based on high-throughput sequencing technology of fungal internal transcribed spacer regions2 (ITS2). The correlation between endophytic fungal community and Hup A content was also investigated. Results revealed that the richness and the diversity of endophytic fungi in H. serrata was various according to different tissues and different ecological areas. The endophytic fungal communities of H. serrata exhibit species-specific, ecological-specific, and tissue-specific characteristics. There are 6 genera (Ascomycota_unclassified, Cyphellophora, Fungi_unclassified, Sporobolomyces, and Trichomeriaceae_unclassified) were significantly positively correlated with Hup A content in all two areas, whereas, there are 6 genera (Auricularia, Cladophialophora, Cryptococcus, Mortierella, and Mycena) were significantly negatively correlated with Hup A content of in all two areas. Conclusions This study indicated a different composition and diverse endophytic fungal communities in H. serrata from different organs and ecological areas. The current study will provide the realistic basis and theoretical significance for understanding the biological diversity and structural composition of endophytic fungal communities in H. serrata, as well as providing novel insights into the interaction between endophytic fungi and Hup A content.","J","Pang, B; Yin, DP; Zhai, YF; He, AG; Qiu, LL; Liu, Q; Ma, N; Shen, HJ; Jia, QJ; Liang, ZS; Wang, DK",NA,NA,NA,"Pang, Bo; Yin, Dengpan; Zhai, Yufeng; He, Anguo; Qiu, Linlin; Liu, Qiao; Ma, Nan; Shen, Hongjun; Jia, Qiaojun; Liang, Zongsuo; Wang, Dekai",NA,NA,"Diversity of endophytic fungal community in Huperzia serrata from different ecological areas and their correlation with Hup A content","BMC MICROBIOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"liu, li/HGC-0900-2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1471-2180",NA,NA,NA,NA,"45509",2022,22,"1",NA,NA,NA,NA,NA,NA,"191","10.1186/s12866-022-02605-y","http://dx.doi.org/10.1186/s12866-022-02605-y",NA,NA,NA,NA,NA,NA,NA,35931950,NA,NA,NA,NA,"WOS:000836604000001","View Full Record in Web of Science",93,NA
"84","Presence","Seashore mallow (Kosteletzkya virginica), as a noninvasive perennial halophytic oilseed-producing dicot, is native from the Gulf to the Atlantic coasts of the U.S. The purpose of our research was to investigate 1-aminocyclopropane-1carboxylic acid deaminase (ACCD) producing endophytic fungi from K.virginica. A total of 59 endophytic fungal strains, isolated from roots in K.virginica of seedlings, were grouped into 12 genera including in Penicillium, Aspergillus, Fusarium, Trichoderma, Rhizopycnis sp., Ceriporia Donk, Trametes sp., Schizophyllum commune sp., Alternaria, Cladosporium, Cylindrocarpon, and Scytalidium according to sequences of ITS. The ACD activity of 10 endophytic fungi isolated was detected. T.asperellum had the highest ACC deaminase activity among all 10 isolated genera of fungal strains, followed by T. viride. Dry weight and fresh weight of plant, plant height, root length, SOD activity, and chlorophyll content of wheat and soybean inoculated with T.asperellum or T. viride was increased compared with non-inoculated control plants under non salt or salt stress. Further analysis showed that T.asperellum or T.viride strains induced downregulation of the expression of ethylene synthesis-related genes such as ACC oxidase (ACO) and ACC synthase (ACS), thereby reducing ethylene synthesis and damage to plants under salt stress. These endophytic fungi can be used as alternative bioinoculants to increase crop yield in saline soil.","J","Wang, XM; Tian, ZY; Xi, Y; Guo, YQ",NA,NA,NA,"Wang, Xiaomin; Tian, Zengyuan; Xi, Yu; Guo, Yuqi",NA,NA,"Identification of endophytic fungi with ACC deaminase-producing isolated from halophyte Kosteletzkya Virginica","PLANT SIGNALING & BEHAVIOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1559-2316","1559-2324",NA,NA,NA,"45657",2022,17,"1",NA,NA,NA,NA,NA,NA,"2152224","10.1080/15592324.2022.2152224","http://dx.doi.org/10.1080/15592324.2022.2152224",NA,NA,NA,NA,NA,NA,NA,36463534,NA,NA,NA,NA,"WOS:000893547900001","View Full Record in Web of Science",94,NA
"85","Review","Endophytic fungi are various micro-organisms that inhabit intracellular or intercellular plant tissues in symbiotic association [at certain stages of their life cycles], without causing damage or morphological changes. The endophytes from medicinal plants are important resources for discovery of natural products and secondary bioactive metabolites having the potential biotechnological applications in agriculture, medicine, and allied sectors. The endophytic fungi such as Acremonium, Aspergillus, Fusarium, Trichoderma, Penicillium, Phomopsis, Pestalotiopsis, Pseudomassari, Quercina, Trichoderma genera have been reported from different medicinal plants with potential therapeutic activity. On the other hand, the endophytic fungi can also confer profound impacts on their host plants like improvement in growth, activation of systemic tolerances towards abiotic/biotic stresses, enhancement of nutrient solublization, biosynthesis of phytohormones and stimulating accumulation of secondary metabolites. Endophytic fungi have attracted much research interest because they have provided not only novel sources of Cytotoxic compounds, Antimicrobial agents, Bio-stimulants for essential oil biosynthesis, Anticancer agents, antioxidant agents, anti-diabetic agents, immunosuppressant and insecticidal compounds. The present review reveals the importance of endophytic fungi from medicinal plants as a source of bioactive compounds as well as landscape of patents related to the production of secondary metabolites through endophytic fungi and their application in pharmaceutical sectors.","J","Powar, PV; Chaudhari, S",NA,NA,NA,"Powar, Priyatama V.; Chaudhari, Shilpa",NA,NA,"Unexploited Potentials of Endophytic Fungi: Patents Review on Endophytic Fungi Related to Secondary Bioactive Compounds","PHARMACOGNOSY RESEARCH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chaudhari, Shilpa/AAA-7032-2021; Chaudhari, Shilpa/Q-1944-2015","Chaudhari, Shilpa/0000-0002-3474-0870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0974-8490","0976-4836",NA,NA,NA,"APR-JUN",2023,15,"2",NA,NA,NA,NA,"217","225",NA,"10.5530/pres.15.2.023","http://dx.doi.org/10.5530/pres.15.2.023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000937319400002","View Full Record in Web of Science",95,NA
"86","Presence","Endophytes from Cephalotaxus hainanensis Li, an important source of anti-leukemia drugs, have not been widely explored. In this study, 265 endophytic fungal isolates from C. hainanensis Li were screened for antimicrobial activities against tilapia, banana, rice, and rape and for antitumor activities against human leukemia cell lines (K562, NB4, and HL-60). Diversity was also analyzed. The results showed that 17.7% of the endophytic fungi had antimicrobial activities against at least three different test microbes, and activity against Fusarium oxysporum RKY102 was the highest at 15.8%. Cytotoxicity against at least one tumor cell line tested was observed in 18.5% of the endophytic fungi; with the highest value of 10.6% against K562. The endophytic fungal strains also showed relatively high activities against K562, NB4, and HL-60 while relatively fewer strains were cytotoxic against the human hepatic Hep-G2 and colon LoVo cancer cell lines. Thirty endophytic fungal strains showed both high antimicrobial and antitumor activities. Moreover, the analyses of the diversity of the 30 highly active strains showed they belonged to 20 species from 14 genera, and this is the first report of endophytic fungi Albonectria rigidiuscula, Colletotrichum magnisporum, and Nemania diffusa being isolated from Cephalotaxus plants. These findings suggest that natural antibacterial products for humans and tilapia; antifungal compounds for rice, rape, and banana; and antitumor compounds for leukemia therapy could be isolated from fungal strains derived from C. hainanensis Li.","J","Liu, YH; Hu, XP; Li, W; Cao, XY; Yang, HR; Lin, ST; Xu, CB; Liu, SX; Li, CF",NA,NA,NA,"Liu, Y. -H.; Hu, X. -P.; Li, W.; Cao, X. -Y.; Yang, H. -R.; Lin, S. -T.; Xu, C. -B.; Liu, S. -X.; Li, C. -F.",NA,NA,"Antimicrobial and antitumor activity and diversity of endophytic fungi from traditional Chinese medicinal plant Cephalotaxus hainanensis Li","GENETICS AND MOLECULAR RESEARCH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"xu, chuanbiao/GVU-7982-2022","li, wu/0000-0003-3942-0515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1676-5680",NA,NA,NA,NA,2016,15,"2",NA,NA,NA,NA,NA,NA,"15028633","10.4238/gmr.15028633","http://dx.doi.org/10.4238/gmr.15028633",NA,NA,NA,NA,NA,NA,NA,27323030,NA,NA,NA,NA,"WOS:000384881000133","View Full Record in Web of Science",96,NA
"87","Presence","Endophytic fungi, being closely associated with their host plants, are an important part of the ecosystem and food web. In modern agriculture, pesticides are widely used. The impact of pesticides on the endophytic fungal community of crops remains poorly understood. In this paper, Chinese cabbage Brassica chinensis, a popular leafy vegetable consumed worldwide, was selected for evaluating the potential effects of a pesticide, deltamethrin, on the endophytic fungal community. By culture method, 195 endophytic fungal strains classified into 39 taxa and 186 strains classified into 30 taxa, respectively, were isolated from the pesticide-treated and untreated B. chinensis samples. Sirodesmium spp. were the predominant endophytic fungi from both samples. The colonisation rates of endophytic fungi of the treated and the untreated samples were not significantly different, as determined by one-way analysis of variance (p > .05). The Shannon diversity indexes (H ') were close, being 2.216 and 2.152, respectively. However, the endophyte compositions of the treated and the untreated samples were significantly different (p < .01) by the canonical correspondence analysis. The similarity coefficient of the endophyte assembles was only 29.0%. Our results indicate that the application of deltamethrin lead to the change of the endophytic fungal assemble in B. chinensis.","J","Zhou, SL; Qiu, H; Feng, CC; Guo, YH; Wang, XN; Chen, CF",NA,NA,NA,"Zhou, Shengliang; Qiu, Hui; Feng, Chengcheng; Guo, Yanhua; Wang, Xiaoning; Chen, Caifa",NA,NA,"Impact of deltamethrin on the endophytic fungal community of a Chinese cabbage, Brassica chinensis","CHEMISTRY AND ECOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caifa, chen/0000-0002-4988-2847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0275-7540","1029-0370",NA,NA,NA,"45366",2016,32,"3",NA,NA,NA,NA,"259","269",NA,"10.1080/02757540.2015.1135907","http://dx.doi.org/10.1080/02757540.2015.1135907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000371490800004","View Full Record in Web of Science",97,NA
"88","Presence","Background: An endophytic fungus lives within a healthy plant during certain stages of, or throughout, its life cycle. Endophytic fungi do not always cause plant disease, and they include fungi that yield different effects, including mutual benefit, and neutral and pathogenic effects. Endophytic fungi promote plant growth, improve the host plant's resistance to biotic and abiotic stresses, and can produce the same or similar biologically active substances as the host. Thus, endophytic fungal products have important implications in drug development. Result: Among the numerous endophytic fungi, we identified two strains, L10Q37 and LQ2F02, that have anti-acetylcholinesterase activity, but the active compound was not huperzine A. The aim of this study was to investigate the anti-acetylcholinesterase activity of secondary metabolites isolated from the endophytic fungi of Huperzia serrata. Microbial cultivation and fermentation were used to obtain secondary metabolites. Active components were then extracted from the secondary metabolites, and their activities were tracked. Two compounds that were isolated from endophytic fungi of H. serrata were identified and had acetylcholine inhibitory activities. In conclusion, endophytic fungal strains were found in H. serrata that had the same anti-acetylcholinesterase activity. Conclusion: We isolated 4 compounds from the endophytic fungus L10Q37, among them S1 and S3 are new compounds. 6 compounds were isolated from LQ2F02, all 6 compounds are new compounds. After tested anti acetylcholinesterase activity, S5 has the best activity. Other compounds' anti acetylcholinesterase activity was not better compared with huperzine A. (C) 2015 Pontificia Universidad Catolica de Valparaiso. Production and hosting by Elsevier B. V. All rights reserved.","J","Wang, ZJ; Ma, Z; Wang, LL; Tang, CC; Hu, ZB; Chou, GX; Li, WK",NA,NA,NA,"Wang, Zhejian; Ma, Zhao; Wang, Lili; Tang, Chengchen; Hu, Zhibi; Chou, GuiXin; Li, Wankui",NA,NA,"Active anti-acetylcholinesterase component of secondary metabolites produced by the endophytic fungi of Huperzia serrata","ELECTRONIC JOURNAL OF BIOTECHNOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wang, lin/HZK-4145-2023; wang, lili/HDL-7210-2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0717-3458",NA,NA,NA,NA,"NOV",2015,18,"6",NA,NA,NA,NA,"399","405",NA,"10.1016/j.ejbt.2015.08.005","http://dx.doi.org/10.1016/j.ejbt.2015.08.005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000365070500003","View Full Record in Web of Science",98,NA
"89","Presence","The endophytic fungal composition of healthy leaves from an invasive plant (Eupatorium adenophorum) in China was investigated. Six morphologically different endophytes were found to inhabit the leaves. Based on a phylogenetic analysis of the internal transcribed spacer sequences (ITS), four morphotypes were close to Alternaria, Cladosporium, Pestalotiopsis, and Didymella, respectively, while two morphotypes were close to unidentified fungi. The frequency at which the endophytes occurred varied among leaves, branches, and individuals, with species diversity markedly increasing with increasing leaf age. Chemical conditions alone did not adequately explain the lower degree of endophytic fungal diversity in younger leaves. Competition between endophytes mediated through non-volatile and volatile metabolites were common and may be a major factor accounting for the heterogeneous distribution of endophytes in leaves of E. adenophorum.","J","Jiang, H; Shi, YT; Zhou, ZX; Yang, C; Chen, YJ; Chen, LM; Yang, MZ; Zhang, HB",NA,"","","Jiang, Huan; Shi, Yun-Tao; Zhou, Zhen-Xin; Yang, Chen; Chen, Yun-Jiao; Chen, Li-Min; Yang, Ming-Zhi; Zhang, Han-Bo",NA,NA,"Leaf chemistry and co-occurring species interactions affecting the endophytic fungal composition of Eupatorium adenophorum","ANNALS OF MICROBIOLOGY","",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"SHI, YU TAO/HJB-1792-2022","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1590-4261","1869-2044","",NA,NA,"SEP",2011,61,"3",NA,"","",NA,"655","662","","10.1007/s13213-010-0186-1","http://dx.doi.org/10.1007/s13213-010-0186-1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000294046400033","View Full Record in Web of Science",294,NA
